name,subway,distance,overall_rating,location_lat,location_lng
滨江公园(彩滨中路),横沙,866,3.7,23.16483,113.221695
陶行知纪念馆,华师,428,5,23.143465,113.35474
国际会议中心,华师,169,5,23.146908,113.35035
广州版纳旅游,华师,977,3,23.13954,113.34571
奇乐儿儿童主题公园(广百新一城店),宝岗大道,862,4.2,23.09937,113.27297
十香园,宝岗大道,828,4.1,23.098536,113.280396
小宇宙儿童乐园(燕汇广场店),宝岗大道,967,4.1,23.088598,113.28477
庄头公园,宝岗大道,839,3.5,23.086264,113.271065
九禾美术馆,宝岗大道,647,3,23.096117,113.28082
美婴开心堡乐园(燕汇广场店),宝岗大道,943,3,23.08875,113.284584
广州市银河烈士陵园烈士纪念馆,燕塘,866,5,23.169718,113.34145
燕岭公园,燕塘,610,4.2,23.160563,113.33283
粤军第一师诸先烈纪念碑,燕塘,193,3.5,23.166128,113.33593
兴华村公园,燕塘,368,3,23.164581,113.33076
南洋长胜酒店-会议厅,燕塘,785,0,23.164892,113.32645
四面佛,如意坊,665,5,23.125502,113.24214
西关民俗馆,如意坊,692,4.3,23.125479,113.242584
广州基督教十甫堂,如意坊,654,4.3,23.12425,113.24333
荔湾湖公园,如意坊,698,4.2,23.126917,113.239395
詹天佑故居,如意坊,826,4.2,23.11894,113.246056
山姆和苏珊儿童乐园,如意坊,958,4.1,23.125982,113.24564
梁氏宗祠,如意坊,962,4,23.127495,113.24408
陈廉伯公馆,如意坊,726,4,23.125854,113.24261
荔湾博物馆,如意坊,684,3.4,23.125458,113.24249
广东八和会馆,如意坊,761,3.4,23.119963,113.245605
西关大宅门,如意坊,607,3,23.124117,113.24287
肇庆会馆遗址,海珠广场,208,5,23.120775,113.27428
大佛古寺(惠福东路),海珠广场,763,4.8,23.127758,113.27454
天字码头,海珠广场,549,4.6,23.121002,113.27767
五仙古观,海珠广场,881,4.3,23.126905,113.26631
药洲遗址,海珠广场,963,4,23.12987,113.27238
南越国水闸遗址,海珠广场,735,4,23.127647,113.273926
广州市消防局旧址,海珠广场,892,4,23.12808,113.27681
文德楼,海珠广场,999,4,23.127329,113.27945
广州民间金融博物馆,海珠广场,692,4,23.11771,113.26669
基督教救主堂,海珠广场,775,3.9,23.126099,113.2777
青云书院,海珠广场,669,3.8,23.127083,113.270874
石室耶稣圣心堂,海珠广场,592,3.5,23.120747,113.266525
许地,海珠广场,486,3.5,23.125559,113.27282
北京街考试博物馆,海珠广场,990,3.5,23.130081,113.273094
一劳大旧址,海珠广场,567,3.3,23.116346,113.270615
丽晶会议中心,海珠广场,746,3,23.127018,113.27594
陶行知纪念馆,岗顶,935,5,23.143465,113.35474
国际会议中心,岗顶,827,5,23.146908,113.35035
曾宪梓科学馆,岗顶,956,5,23.13436,113.35266
潘氏宗祠,岗顶,555,4,23.135603,113.3453
文理一堂,岗顶,888,4,23.142672,113.337776
广州版纳旅游,岗顶,119,3,23.13954,113.34571
杨桃公园,三溪,964,3.1,23.118725,113.42034
棉花糖欢乐堡儿童乐园,南洲,803,4.5,23.07545,113.29929
海珠儿童公园,南洲,993,4.4,23.064985,113.31246
未晚亭,小北,969,5,23.147568,113.27366
Butterfly,小北,771,5,23.151186,113.28764
麓湖公园游艇部,小北,940,4.4,23.153643,113.286285
广州美术馆,小北,925,4.2,23.14386,113.27412
艺术博物院,小北,572,4,23.149273,113.28703
麓湖儿童乐园,小北,847,4,23.15172,113.2881
广州雕塑院,小北,783,4,23.138725,113.28326
四方炮台遗址,小北,881,3.5,23.146725,113.274376
广州青少年科技馆,小北,575,3.5,23.148623,113.27824
踏趣园,小北,958,3,23.144672,113.273636
和平国旅(建设大马路店),小北,763,2.9,23.14063,113.28789
东秀游乐园,小北,519,2,23.143969,113.278244
荔湾区儿童公园,花地湾,777,4.8,23.09036,113.247665
嘻哈儿童乐园,花地湾,824,4.8,23.100246,113.24044
简氏宗祠,花地湾,789,3.5,23.093287,113.23285
聚龙古村,花地湾,726,2,23.094051,113.24753
八旗博物馆,团一大广场,264,5,23.123959,113.282
广州普公汉代陶瓷博物馆,团一大广场,260,5,23.123972,113.28204
中共广东区委旧址纪念馆,团一大广场,600,5,23.128874,113.281525
鲁迅先生纪念园,团一大广场,889,5,23.126436,113.29294
君宝轩艺术馆,团一大广场,667,5,23.12769,113.27922
天字码头,团一大广场,792,4.6,23.121002,113.27767
大元帅府广场,团一大广场,915,4.5,23.116062,113.28549
鲁迅纪念馆,团一大广场,712,4.5,23.130638,113.283966
双清园,团一大广场,282,4.5,23.125664,113.286865
中华全国总工会旧址,团一大广场,152,4.3,23.125578,113.28419
