name,subway,distance,service_rating,price,environment_rating,overall_rating,location_lat,location_lng
卡卡量贩式KTV,梅花园,352,1.7,51,2,3.3,23.184345,113.32778
金和国际水汇,梅花园,417,0,350,0,3.4,23.184893,113.328026
爱琴海KTV(梅花园店),梅花园,678,0,135,0,4.4,23.187347,113.32753
天上天休闲,梅花园,623,0,250,0,2.8,23.176157,113.324455
天使城桑拿,梅花园,699,0,278,0,3,23.187462,113.328156
梅花园林宾馆-梅园休闲中心,梅花园,435,0,102,0,2.4,23.185131,113.327675
梅宾休闲中心,梅花园,301,0,98,0,3.7,23.183975,113.32719
轩昂阁沐足推拿,梅花园,778,0,80,0,3.5,23.188168,113.328255
国康中医推拿,梅花园,416,0,69,0,4.1,23.182232,113.33089
金豪门KTV,梅花园,985,0,350,0,4.6,23.177874,113.335846
玄和堂养生馆,梅花园,528,0,98,0,3,23.185555,113.329185
华旗纳米养生(圣地大厦店),梅花园,742,0,68,0,-1,23.18786,113.32811
花城广场,大剧院,85,0,140,0,4.7,23.120588,113.331055
广州大剧院,大剧院,266,0,298,0,4.7,23.121054,113.32866
康逸居沐足推拿(花城大道店),大剧院,711,0,143,0,3.7,23.12474,113.325356
非凡足迹(广州珠江新城店),大剧院,953,0,257,0,4.6,23.123901,113.32235
芭黎晚香私人形象定制,大剧院,576,0,348,0,-1,23.12538,113.33479
慧足轩大型休闲中心,大剧院,737,0,80,0,4.2,23.125065,113.32529
博爱盲人推拿(虎门店),朝安,650,0,70,0,-1,23.035095,113.134026
h2真人密室逃脱,朝安,925,0,64,0,4.8,23.03261,113.14917
水玲珑会馆(东山口店),东山口,426,0,236,0,4,23.129494,113.29816
玉清池水疗会所,东山口,741,0,350,0,3.3,23.13678,113.3041
康派沐足中心,东山口,460,0,78,0,3,23.134474,113.302376
秘道Doors实景密室逃脱,东山口,803,0,54,0,4.9,23.137503,113.303276
轻松松推拿中心,东山口,753,0,88,0,3.8,23.128038,113.29529
足满堂(广联店),东山口,904,0,116,0,4,23.13737,113.30666
浪程会大厅KTV,东山口,671,0,50,0,3.9,23.12588,113.29779
夜色俱乐部(艺星大厦),东山口,725,0,60,0,3,23.136812,113.30311
无双电玩租机桌游吧,东山口,454,0,51,0,3,23.126432,113.3009
三意屋DIY CAKE(烟墩路店),东山口,431,0,90,0,-1,23.127281,113.304825
天缘保健,天河客运站,187,0,65,0,3.5,23.175735,113.35203
您想水疗会所,天河客运站,685,0,185,0,2.4,23.181372,113.35444
白梧桐私人定制会所,天河客运站,817,0,87,0,5,23.171837,113.35659
今前养生会所,天河客运站,702,0,72,0,4,23.181631,113.35434
嘉福利晶水疗,天河客运站,790,0,98,0,3.5,23.173634,113.357475
力源堂(元岗店),天河客运站,597,0,65,0,3.7,23.174551,113.35584
海之悦休闲会馆,西朗,516,0,189,0,3,23.066916,113.23617
得悦休闲阁,西朗,723,0,128,0,3.3,23.07725,113.2405
广州金逸国际影城(和业店),陈家祠,477,0,65,0,4,23.127415,113.253746
逸康金阁休闲中心,陈家祠,782,0,169,0,3.1,23.138283,113.25521
康泰休闲按摩,陈家祠,751,0,100,0,2.4,23.126078,113.24856
佰盛堂健康休闲中心,陈家祠,580,0,201,0,4.2,23.131712,113.25845
足采堂健康休闲中心,陈家祠,790,0,65,0,4.3,23.135315,113.25938
良子沐足推拿,陈家祠,748,0,68,0,4.5,23.1323,113.2455
足语轩养生馆,陈家祠,669,0,51,0,5,23.13755,113.25168
美健能量工房,陈家祠,472,0,98,0,4,23.128252,113.25561
利足堂健康休闲中心,陈家祠,734,0,69,0,3.9,23.135267,113.25876
神康盲人保健按摩所,陈家祠,927,0,50,0,5,23.136482,113.26014
九九众康中医养生(中山八分店),陈家祠,817,0,98,0,4.3,23.13007,113.24496
东升医院按摩中心,陈家祠,967,0,64,0,3.6,23.125187,113.259155
九九众康中医养生(文昌南店),陈家祠,958,0,78,0,-1,23.1232,113.25074
泺乐婴儿生活馆,陈家祠,868,0,568,0,4.1,23.128473,113.245
康泰休闲按摩,长寿路,220,0,100,0,2.4,23.126078,113.24856
芝美,长寿路,217,0,139,0,2,23.122446,113.247444
广州金逸国际影城(和业店),长寿路,643,0,65,0,4,23.127415,113.253746
知足常乐(多宝路),长寿路,450,0,66,0,3.9,23.122372,113.244606
良子沐足推拿,长寿路,965,0,68,0,4.5,23.1323,113.2455
九九众康中医养生(文昌南店),长寿路,241,0,78,0,-1,23.1232,113.25074
美健能量工房,长寿路,853,0,98,0,4,23.128252,113.25561
泺乐婴儿生活馆,长寿路,609,0,568,0,4.1,23.128473,113.245
九九众康中医养生(中山八分店),长寿路,760,0,98,0,4.3,23.13007,113.24496
丛桂路,长寿路,745,0,75,0,-1,23.117737,113.24628
金日健康中心,江泰路,101,0,278,0,3.4,23.089302,113.28693
星都会KTV,江泰路,243,0,80,0,4.5,23.089724,113.28511
凤阳休闲健康中心,江泰路,105,0,338,0,2.5,23.088142,113.287994
江南水湾休闲会所,江泰路,923,0,241,0,3,23.081856,113.292564
潇洒皇宫休闲中心,江泰路,796,0,160,0,2.3,23.092018,113.29372
嘉信桑拿保健中心,江泰路,617,0,340,0,2.3,23.083261,113.2847
御安阁,江泰路,674,0,178,0,1.7,23.092508,113.29185
星都养生馆,江泰路,927,0,111,0,3.8,23.094316,113.28062
紫禁之城星都会KTV(润政广场店),江泰路,264,0,66,0,-1,23.090084,113.28519
逸美健养生中心,江泰路,844,0,78,0,4.2,23.0952,113.283325
扶之堂中医推拿馆,江泰路,803,0,97,0,4.7,23.08945,113.27923
脊柱运动梳理(昌岗店),江泰路,867,0,200,0,4.3,23.0962,113.287
花城广场,珠江新城,618,0,140,0,4.7,23.120588,113.331055
广州大剧院,珠江新城,472,0,298,0,4.7,23.121054,113.32866
广州UA花城汇影院,珠江新城,857,0,56,0,4.1,23.132187,113.331276
康逸居沐足推拿(花城大道店),珠江新城,244,0,143,0,3.7,23.12474,113.325356
慧足轩大型休闲中心,珠江新城,246,0,80,0,4.2,23.125065,113.32529
广州金逸国际影城(维家思店),珠江新城,918,0,55,0,4.3,23.130981,113.334114
水汇国际休闲会所,珠江新城,692,0,332,0,3.6,23.129568,113.32285
非凡足迹(广州珠江新城店),珠江新城,565,0,257,0,4.6,23.123901,113.32235
益康推拿,珠江新城,748,0,60,0,4.8,23.123875,113.32052
芭黎晚香私人形象定制,珠江新城,726,0,348,0,-1,23.12538,113.33479
帝王休闲中心,礌岗,960,0,178,0,3.3,23.041334,113.16539
良子按摩馆,礌岗,959,0,227,0,-1,23.057302,113.15825
童康堂,礌岗,876,0,93,0,-1,23.041595,113.160126
妙手扶正养生馆,礌岗,648,0,100,0,-1,23.046333,113.15637
星海音乐学院-音乐厅,大学城北,563,0,80,0,5,23.065163,113.38646
高乐糕DIY烘焙坊,大学城北,889,0,70,0,4.7,23.067316,113.40007
金沙湾沐足城,大沙地,135,0,126,0,3.8,23.109293,113.453804
帝豪量贩KTV音乐会所(黄埔店),大沙地,533,0,53,0,3.6,23.104427,113.45056
康民盲人按摩(大沙地店),大沙地,184,0,65,0,4.7,23.108751,113.45436
永成盲人按摩休闲中心,大沙地,593,0,60,0,4.6,23.107292,113.458115
新港成人之美成人用品店(黄埔分店),大沙地,924,0,95,0,-1,23.111155,113.46126
纳米汗蒸馆,大沙地,846,0,86,0,4.4,23.111921,113.460144
足福堂(雅足堂。 键莱盲人),大沙地,819,0,60,0,3.9,23.108915,113.46058
银丰沐足,黄村,591,0,67,0,3.2,23.13323,113.413795
鼎福休闲中心,黄村,848,0,148,0,3.1,23.130938,113.41425
康逸休闲中心,黄村,689,0,114,0,1,23.132376,113.41429
喜阳真人CS拓展基地,黄村,381,0,65,0,-1,23.1416,113.41542
鼎福休闲酒店-KTV,黄村,851,0,150,0,4.2,23.130905,113.414246
广东奥林匹克大酒店-沐足室,黄村,527,0,128,0,4,23.143213,113.41468
安然纳米汗蒸馆(假日新街店),黄村,829,0,98,0,5,23.132456,113.40902
广州首泰,黄村,833,0,217,0,-1,23.1323,113.4092
花城广场,广州塔,964,0,140,0,4.7,23.120588,113.331055
启源养生会所（琴海居店）,广州塔,667,0,155,0,4.3,23.111126,113.32333
手心足·养生馆,广州塔,731,0,55,0,4.4,23.10566,113.32785
帝景酒店沐足中心,广州塔,516,0,78,0,5,23.109213,113.33384
瑞足轩商务养生会所,广州塔,615,0,75,0,4.4,23.111092,113.32385
鼎足休闲会,沥滘,734,0,118,0,5,23.06722,113.32673
正脊益理疗养生,沥滘,574,0,100,0,1,23.065828,113.32625
浅草健康休闲中心,萧岗,865,0,78,0,3.5,23.206064,113.27847
江美休闲会所,萧岗,988,0,350,0,2.2,23.213402,113.28496
浪漫水乡休闲会所,萧岗,991,0,150,0,2.5,23.211594,113.280685
圆梦高歌,萧岗,945,0,108,0,-1,23.212982,113.28481
九号行馆水疗城,广州东站,141,0,258,0,3.9,23.155704,113.32945
浅水湾休闲会所,广州东站,301,0,95,0,3.9,23.157112,113.328255
广州国会夜总会,广州东站,487,0,842,0,4.2,23.151716,113.33256
大汉休闲会所,广州东站,528,0,98,0,4,23.151712,113.32822
水云宫休闲会所,广州东站,479,0,438,0,3.8,23.15684,113.33539
紫东湾会所,广州东站,837,0,88,0,3.8,23.158264,113.32309
颐康阁养生馆,广州东站,311,0,94,0,4.2,23.153511,113.33257
新力沐足中心,广州东站,927,0,96,0,4.9,23.149067,113.336174
益元中医馆,广州东站,749,0,87,0,4.8,23.15031,113.33507
富城休闲中心,广州东站,919,0,300,0,1.9,23.147688,113.32914
决胜温莎,广州东站,876,0,78,0,3,23.147928,113.33062
资元堂顶级休闲养生会所,广州东站,994,0,90,0,3.7,23.147146,113.32841
名城水疗,广州东站,974,0,138,0,3.7,23.153654,113.321594
粤都保健沐足,广州东站,924,0,98,0,2,23.163336,113.33466
康怡休闲会所,广州东站,991,0,94,0,4,23.14871,113.33671
莉菀养生会所,广州东站,877,0,107,0,4.3,23.160963,113.33733
Yoho Keon,广州东站,388,0,85,0,4.4,23.152342,113.330376
广州UA花城汇影院,天河南,549,0,56,0,4.1,23.132187,113.331276
喻足轩,天河南,177,0,65,0,4,23.136065,113.32936
飞扬电影城(正佳店),天河南,351,0,57,0,3.8,23.138704,113.33366
广州金逸国际影城(维家思店),天河南,764,0,55,0,4.3,23.130981,113.334114
梦之桥休闲中心,天河南,686,0,65,0,4.7,23.135767,113.32414
金瑶池,天河南,466,0,123,0,4.1,23.13597,113.33509
御都SPA休闲会所,天河南,661,3,386,2.6,3.9,23.142708,113.332825
子午中医养生馆,天河南,249,0,73,0,4.2,23.134848,113.33071
国德国际大酒店-水疗桑拿馆,天河南,963,0,500,0,3.8,23.141806,113.33861
保元堂,天河南,377,0,78,0,4.4,23.135412,113.32749
天水伊人,天河南,363,0,172,0,5,23.138884,113.33367
山林间健康养生会所,天河南,618,0,80,0,3.5,23.134018,113.32565
宇星盲人中医推拿,天河南,654,0,72,0,4.3,23.136692,113.33708
御足堂广天店,天河南,734,0,75,0,3.9,23.133175,113.33648
世外桃源至尊国际休闲会所,天河南,962,0,368,0,3.7,23.141787,113.33861
安然纳米汗蒸馆(体育西店),天河南,316,0,58,0,4.5,23.137373,113.327614
优昊家族(时尚天河店),天河南,318,0,52,0,4.5,23.139542,113.33232
一舞爵士汇,天河南,445,0,2042,0,4.8,23.134914,113.33435
名豪盛会量贩KTV,天河南,513,0,167,0,3.5,23.139353,113.32631
道家归真养生堂,天河南,613,0,238,0,4,23.137173,113.33669
丰盈国际休闲会所,嘉禾望岗,760,0,148,0,3.8,23.242697,113.28776
大唐足道,嘉禾望岗,658,0,103,0,4.3,23.245314,113.28887
君港休闲会所,嘉禾望岗,913,0,188,0,3,23.240917,113.28673
康美沐足,嘉禾望岗,745,0,68,0,2.9,23.244144,113.28781
明轩休闲,嘉禾望岗,821,0,50,0,3.7,23.250708,113.292274
嘉荣沐足,嘉禾望岗,652,0,350,0,5,23.246172,113.28926
云水瑶,嘉禾望岗,913,0,198,0,3.3,23.240917,113.28673
大都会KTV,嘉禾望岗,841,0,100,0,3.8,23.251137,113.293076
紫兰会KTV,嘉禾望岗,962,0,350,0,4,23.236723,113.28968
虾虾霸霸钓虾场,龙溪,260,0,69,0,-1,23.071112,113.19678
广州UA花城汇影院,黄埔大道,66,0,56,0,4.1,23.132187,113.331276
广州金逸国际影城(维家思店),黄埔大道,378,0,55,0,4.3,23.130981,113.334114
飞扬电影城(正佳店),黄埔大道,725,0,57,0,3.8,23.138704,113.33366
梦之桥休闲中心,黄埔大道,772,0,65,0,4.7,23.135767,113.32414
金瑶池,黄埔大道,561,0,123,0,4.1,23.13597,113.33509
喻足轩,黄埔大道,408,0,65,0,4,23.136065,113.32936
子午中医养生馆,黄埔大道,241,0,73,0,4.2,23.134848,113.33071
水汇国际休闲会所,黄埔大道,894,0,332,0,3.6,23.129568,113.32285
保元堂,黄埔大道,463,0,78,0,4.4,23.135412,113.32749
山林间健康养生会所,黄埔大道,558,0,80,0,3.5,23.134018,113.32565
御足堂广天店,黄埔大道,571,0,75,0,3.9,23.133175,113.33648
宇星盲人中医推拿,黄埔大道,772,0,72,0,4.3,23.136692,113.33708
天水伊人,黄埔大道,744,0,172,0,5,23.138884,113.33367
恒大院线,黄埔大道,292,0,137,0,-1,23.132713,113.33378
一舞爵士汇,黄埔大道,430,0,2042,0,4.8,23.134914,113.33435
