name,subway,distance,service_rating,price,environment_rating,overall_rating,location_lat,location_lng
嘉逸豪庭酒店中餐厅,广州东站,553,4.5,70,4.5,4.5,23.15149,113.33352
十悦酒家,广州东站,147,2.8,94,2.8,4.4,23.15554,113.329414
Next Cake甜品店,天河南,327,2.5,164,2.7,5,23.134398,113.329414
海皇轩食府(广晟店),天河南,695,3.2,70,3.4,5,23.130857,113.33021
叻宝叻宝,天河南,504,4,83,4.1,5,23.135935,113.335464
糕朋满座DIY蛋糕,天河南,93,3.65,85,3.65,5,23.136322,113.33034
游乐场咖啡酒吧,天河南,390,3.2,47,3.2,5,23.134096,113.33269
天河蔚青咖啡厅,天河南,458,4.5,40,4,5,23.140636,113.32839
麻田会(体育西店),天河南,306,3,83,3,4.9,23.13781,113.3278
乐藏,天河南,970,3,95,3.2,4.9,23.131775,113.32317
辉记潮州海鲜砂锅粥(广州大道中),天河南,952,2,89,2.2,4.8,23.138498,113.3215
富田菊铁板皇尚料理(富力盈信大厦店),天河南,719,3.4,130,3.5,4.8,23.131027,113.32824
虾搞搞小龙虾,天河南,557,4.3,102,3.95,4.8,23.13608,113.33603
Ebony,天河南,991,3.5,240,3.5,4.8,23.140554,113.33963
翠园,天河南,883,3.4,130,3.7,4.7,23.139614,113.33888
一龙拉面,天河南,197,4.35,47,3.95,4.7,23.136532,113.33253
潮泰居美食店,天河南,238,2.1,40,2.3,4.7,23.135103,113.32983
阿翁名菜,天河南,500,0,298,0,4.7,23.13533,113.3352
72街(盈丰店),天河南,989,4,45,4.05,4.7,23.131325,113.32333
元気寿司,天河南,778,0,92,0,4.7,23.139502,113.337845
贰叁茶屋,天河南,391,4.25,53,4.3,4.7,23.133915,113.33233
7INN郁源咖啡,天河南,345,3.2,42,3.2,4.7,23.134207,113.33194
椰林四季,嘉禾望岗,817,3,79,3,4.6,23.242779,113.28718
炭记牛杂煲,嘉禾望岗,292,0,47,0,4.4,23.241838,113.29702
广州蔬菜示范园鲜蔬火锅城,嘉禾望岗,755,0,57,0,4.3,23.249775,113.29158
加州风情,嘉禾望岗,955,3.1,43,3.2,4.3,23.239704,113.30333
温州人家,嘉禾望岗,655,0,45,0,4.2,23.246012,113.289154
爱客多蛋糕店(嘉禾望岗店),嘉禾望岗,79,3.75,68,3.75,4.2,23.244474,113.294846
云山猪肚鸡,嘉禾望岗,407,3,98,3,4.1,23.240526,113.296906
悦景海鲜酒家,嘉禾望岗,664,3.45,59,3.4,4,23.248432,113.29101
长沙口味虾石锅鱼,嘉禾望岗,843,3,40,3,4,23.241756,113.287155
湘悦溢嘉仁湘菜馆(嘉禾店),嘉禾望岗,934,0,45,0,3.8,23.240696,113.286606
韩庄烤唰自助餐,嘉禾望岗,941,0,70,0,3.8,23.240606,113.28657
寻味小龙虾,嘉禾望岗,282,3.6,42,3.45,3.7,23.241915,113.29696
蔬菜基地,嘉禾望岗,685,3.45,61,3.5,3.7,23.249449,113.29243
湘邻湘亲,嘉禾望岗,249,3.1,56,3.1,3.6,23.242275,113.296906
嘉湘味道,嘉禾望岗,81,0,41,0,3.4,23.243097,113.29536
大呷麻辣香锅,嘉禾望岗,210,3,42,3,3.1,23.24229,113.29636
华冠海鲜肥牛自助火锅(嘉禾店),嘉禾望岗,935,0,44,0,3.1,23.24066,113.28661
周记茗点居,嘉禾望岗,906,2.9,40,2.9,3,23.241026,113.28676
哈呗斯挪威三文鱼(岭南新世界店),嘉禾望岗,955,2.7,50,2.8,2.6,23.239704,113.30333
香港海鲜大牌档,嘉禾望岗,376,0,85,0,-1,23.240768,113.296745
金城酒家(龙溪大道店),龙溪,745,2.9,45,2.7,4.3,23.074305,113.20597
中品酒家(物流1路),龙溪,985,2.8,51,2.8,4.3,23.069288,113.18997
海北饭店,龙溪,807,2.9,44,2.8,3.9,23.078794,113.20163
海龙园美食农庄,龙溪,858,3,98,3,3.5,23.071306,113.20755
海皇轩食府(广晟店),黄埔大道,215,3.2,70,3.4,5,23.130857,113.33021
Next Cake甜品店,黄埔大道,244,2.5,164,2.7,5,23.134398,113.329414
汤工房（兴盛路店）,黄埔大道,915,0,83,0,5,23.12664,113.33699
老友记主题店,黄埔大道,847,0,57,0,5,23.13134,113.322754
The Ascott Lounge,黄埔大道,944,3,76,3,5,23.124344,113.32914
叻宝叻宝,黄埔大道,588,4,83,4.1,5,23.135935,113.335464
糕朋满座DIY蛋糕,黄埔大道,408,3.65,85,3.65,5,23.136322,113.33034
游乐场咖啡酒吧,黄埔大道,239,3.2,47,3.2,5,23.134096,113.33269
天河蔚青咖啡厅,黄埔大道,921,4.5,40,4,5,23.140636,113.32839
麻田会(体育西店),黄埔大道,653,3,83,3,4.9,23.13781,113.3278
乐藏,黄埔大道,798,3,95,3.2,4.9,23.131775,113.32317
春夏秋冬韩国料理,黄埔大道,907,3.3,85,3.2,4.8,23.126814,113.33709
富田菊铁板皇尚料理(富力盈信大厦店),黄埔大道,329,3.4,130,3.5,4.8,23.131027,113.32824
虾搞搞小龙虾,黄埔大道,645,4.3,102,3.95,4.8,23.13608,113.33603
一龙拉面,黄埔大道,458,4.35,47,3.95,4.7,23.136532,113.33253
潮泰居美食店,黄埔大道,291,2.1,40,2.3,4.7,23.135103,113.32983
72街(盈丰店),黄埔大道,789,4,45,4.05,4.7,23.131325,113.32333
稻菊日本料理,黄埔大道,712,3.4,115,3.5,4.7,23.127445,113.33494
阿翁名菜,黄埔大道,527,0,298,0,4.7,23.13533,113.3352
贰叁茶屋,黄埔大道,198,4.25,53,4.3,4.7,23.133915,113.33233
北雪湘园(五山店),五山,618,2.3,63,2.3,4.6,23.154642,113.353905
万人汇广州五山店,五山,176,2.9,56,2.8,4.5,23.157692,113.36005
华农绿康,五山,283,3.6,66,3.6,4.4,23.157633,113.36112
大丰收农庄,五山,993,3.65,86,3.5,4.3,23.149488,113.36004
雕刻时光咖啡馆(广州五山店),五山,240,3.1,52,3.2,4.3,23.158129,113.360794
比逗,五山,202,3.6,45,3.85,4.1,23.158092,113.36042
福翠园湛江鸡酒家,五山,207,2.8,41,2.8,4,23.157694,113.360374
钢铁研究所餐厅,五山,959,2.9,43,2.9,3.9,23.16571,113.363266
竹园餐厅,五山,557,2.7,58,2.6,3.8,23.161331,113.3628
西湖苑-西餐厅,五山,939,3,68,3.1,3.8,23.160164,113.34949
田园好,五山,995,2.9,71,2.8,3.8,23.14949,113.36014
西湖苑宾馆中餐厅,五山,938,2.3,57,2.3,3.8,23.160442,113.34957
校园咖啡屋,五山,745,2.6,44,3.5,3.7,23.160563,113.351585
香园美食餐厅,五山,218,2.8,54,3.4,3.6,23.16016,113.35917
东江渔村(华农师厨),五山,960,3.75,48,3.7,3.5,23.165722,113.36327
铭记酒家,五山,606,2.8,48,2.8,3.4,23.154795,113.35391
西湖苑宾馆发电所餐厅,五山,958,2.4,56,3,3.2,23.160858,113.349495
华南理工大学学三饭堂,五山,695,2.8,79,2.8,3.1,23.15698,113.35181
聚丰酒家,五山,316,2.5,86,2.8,3,23.156754,113.36105
潮源农庄,五山,993,3,62,3,3,23.149685,113.361
红芥末寿司店,江南西,350,3.3,55,3,5,23.100574,113.279305
御品膳食府,江南西,618,2.5,70,3,5,23.098982,113.27693
潮公馆潮州食府,江南西,760,3.65,40,3.65,5,23.097,113.28238
萌记美食,江南西,948,4.5,40,4.5,5,23.09505,113.280136
广州酒家(江南西店),江南西,117,3,50,3,5,23.103218,113.28142
福岛(江南西分店),江南西,529,2.3,72,2.4,4.8,23.102184,113.27538
家琳甜品工作坊,江南西,234,4.35,69,4.35,4.8,23.103588,113.28263
